video_id,title,channel_name,publish_date,duration_seconds,category,tags,country,days_since_publish,views,likes,dislikes,comments,subscribers,avg_daily_views,growth_30d,is_trending,virality_label
CuxZZiiNVPj,Why Smartphones That Works,GlobalJourney420,2024-03-22,1616,Science & Technology,"machinelearning,investing,tutorial,daily,travel,comedy",IN,508,20180,326,25,205,3420,39.72,0.4854,0,normal
UTN3NwUNEB0,Review: Smartphones in 10 Minutes,GlobalLab27,2021-05-30,916,Sports,"python,music,machinelearning,investing,howto",CA,1535,85431,2155,252,266,5484,55.66,-0.0435,0,normal
chyZhIGaMq1,Beginner's Guide to AI Tools You Need to Know,LearnBytes529,2021-01-12,824,News & Politics,"finance,howto,cooking,travel",CA,1673,71428,3881,231,849,100,42.69,-0.1041,0,normal
m8qBfwwVGZQ,Beginner's Guide to Python That Works,GlobalGuide160,2024-06-19,2233,Travel & Events,"unboxing,beginner,ai,vlog",DE,419,33377,1643,37,102,100,79.66,-0.4168,0,normal
oh7qqkJBuLt,The Truth About Cooking Full Tutorial,LifeLab121,2023-04-30,614,Science & Technology,"cooking,vlog,howto,study,daily,tips",KR,835,146029,10606,522,1152,16010,174.89,-0.386,0,popular
BjeVQJSAhN6,Reaction to Cooking in 10 Minutes,SmartSpot672,2020-10-06,168,People & Blogs,"cooking,vlog,beginner,howto",US,1771,92282,1830,77,912,100,52.11,-0.0968,0,normal
QhRf0YN81em,Beginner's Guide to Stock Market You Need to Know,DailyWorld344,2023-09-23,2230,Gaming,"machinelearning,investing,tutorial,comedy,music,cooking,vlog",CA,689,35235,1504,112,623,100,51.14,-0.0816,0,normal
eXs9QspAJI4,Reaction to Smartphones Full Tutorial,QuickGuide97,2024-06-04,1933,Travel & Events,"beginner,travel,howto,finance,python",IN,434,6158,330,14,85,370,14.19,-0.4453,0,normal
NVUe9oO4EVy,Why Study Hacks 2025,TechSpot193,2024-08-09,45,Travel & Events,"python,beginner,machinelearning,unboxing,comedy",DE,368,47122,1948,56,545,100,128.05,-0.4118,0,normal
ng0wVJY08YM,Reaction to Python Full Tutorial,ProLab185,2025-06-18,1149,Gaming,"beginner,python,music,tips,cooking",IN,55,126595,5646,331,1164,2829,2301.73,-0.3342,0,popular
jxrzuLWOefQ,Review: Budget Travel Explained,GlobalHub342,2023-04-05,363,Travel & Events,"beginner,ai,cooking,tips",KR,860,118348,8779,300,2801,14054,137.61,-0.5,0,popular
tFMcb7Dna0A,DIY Stock Market 2025,TechWorld854,2025-03-22,3156,News & Politics,"vlog,howto,motivation,comedy,machinelearning,unboxing,daily",US,143,22460,799,62,274,100,157.06,-0.2757,0,normal
aTZJO1BEuVx,Why Study Hacks Explained,SmartJourney393,2021-10-26,986,News & Politics,"machinelearning,study,cooking",FR,1386,119740,3840,226,2076,100,86.39,0.4,0,popular
RaMxQGsURLJ,Quick Tips: Smartphones Full Tutorial,EasyLab528,2024-09-15,2793,People & Blogs,"review,cooking,beginner",BR,331,10647,864,20,120,2753,32.17,0.5111,0,normal
dhzsjeDamc6,Reaction to Budget Travel That Works,LifeVibes869,2024-01-04,897,Entertainment,"investing,fitness,tips,ai,finance,travel,tutorial",CA,586,60475,3060,0,431,10097,103.2,-0.1424,0,normal
m3ConAxj0pf,Top 10 Budget Travel You Need to Know,TopAcademy236,2023-10-05,2421,Education,"finance,machinelearning,unboxing,daily,comedy,vlog",FR,677,40649,1826,31,210,567,60.04,0.0398,0,normal
5uCNG3iFqYu,Unboxing: Budget Travel Explained,LifeLab755,2020-11-10,1410,Gaming,"vlog,music,cooking,unboxing,machinelearning,tutorial,comedy",IN,1736,33645,2058,96,530,152,19.38,-0.2457,0,normal
8eDpyUOkxsn,The Truth About Gadgets for Beginners,LearnWorld104,2023-07-17,703,Howto & Style,"comedy,motivation,python,daily",BR,757,34902,2381,9,0,100,46.11,0.2781,0,normal
nN4SgeJpB3j,How to Python Explained,QuickVibes156,2025-01-06,2897,People & Blogs,"motivation,python,finance,study,investing,vlog",FR,218,9696,292,4,98,1438,44.48,-0.3678,0,normal
wIFl8u8CZdQ,How to Budget Travel Explained,TechVibes245,2023-11-25,868,Science & Technology,"beginner,vlog,finance,travel",KR,626,31539,1346,58,95,6884,50.38,-0.2696,0,normal
EO4GjqCf9e6,Reaction to Home Workout 2025,LearnWorld61,2024-08-20,3250,People & Blogs,"tutorial,howto,review,beginner,python,ai,motivation",BR,357,27452,1482,71,310,100,76.9,-0.1203,0,normal
cDDf00xfKfO,Top 10 Weight Loss Full Tutorial,LearnJourney277,2021-11-07,3271,Howto & Style,"unboxing,investing,finance,tips,daily,beginner,cooking",FR,1374,77823,3085,132,571,3645,56.64,-0.3171,0,normal
rSz97oczCW8,DIY Budget Travel Full Tutorial,DailyHub382,2021-06-03,2411,Gaming,"study,music,tips,tutorial,travel,howto,ai",JP,1531,60294,2404,191,706,10906,39.38,0.5514,0,normal
qilBIzbvfLu,DIY Python in 10 Minutes,QuickGuide798,2022-02-22,376,Sports,"motivation,finance,music,cooking",GB,1267,72729,1420,233,863,100,57.4,0.214,0,normal
RbGRNgDrIAe,Review: Home Workout You Need to Know,QuickReviews942,2022-05-07,1026,Howto & Style,"python,music,howto",KR,1193,81955,5318,190,873,2724,68.7,-0.3849,0,normal
hA9A9MZp44e,DIY AI Tools You Need to Know,TopAcademy878,2022-08-14,1161,Sports,"python,motivation,finance,unboxing,review,vlog",GB,1094,40854,1574,52,430,2002,37.34,0.6216,0,normal
dv1jQeSJ6TS,Unboxing: Stock Market Explained,LifeGuide221,2020-08-15,2740,Music,"investing,ai,machinelearning,fitness,unboxing",GB,1823,60190,1976,113,332,16154,33.02,-0.1277,0,normal
ouo7beJizcC,Reaction to Smartphones 2025,TopSpot736,2024-09-19,585,Science & Technology,"vlog,beginner,review,tutorial",AU,327,33922,1869,9,268,9197,103.74,-0.5,0,normal
uyfnHx2slZj,Beginner's Guide to Python That Works,SmartBytes318,2022-12-12,1903,Gaming,"travel,unboxing,vlog,review",US,974,67984,2986,80,803,100,69.8,0.2851,0,normal
WcnanoMoT7u,DIY Study Hacks You Need to Know,LifeLab372,2024-04-30,70,Entertainment,"python,investing,review,tips,ai",BR,469,112794,6900,329,0,46425,240.5,-0.0544,0,popular
dXdLAgdd0yM,DIY Study Hacks That Works,GlobalJourney11,2021-08-23,1887,News & Politics,"unboxing,review,machinelearning,python,daily,travel",DE,1450,45303,1457,99,267,12863,31.24,0.0656,0,normal
4zE4Nw3teBP,Why Home Workout in 10 Minutes,QuickHub969,2021-08-21,1038,Gaming,"review,tips,travel,daily,unboxing,python",IN,1452,48934,1610,17,793,4992,33.7,0.4977,0,normal
gusBSkBBT4M,DIY Budget Travel Explained,TechWorld688,2021-02-03,2641,News & Politics,"finance,music,python,tips,daily",US,1651,89758,3318,0,981,100,54.37,0.361,0,normal
vDlTSARqmy0,The Truth About Cooking Full Tutorial,EasyWorld390,2024-02-12,1962,Travel & Events,"fitness,machinelearning,tutorial,motivation",DE,547,7092,283,16,70,100,12.97,0.3493,0,normal
9ulPn2XZkkz,Top 10 Home Workout in 10 Minutes,TopBytes640,2020-08-30,878,Sports,"unboxing,review,fitness,vlog,motivation,music",DE,1808,127031,6543,238,525,12360,70.26,0.1762,0,popular
98uHZq3uosc,Top 10 AI Tools 2025,QuickSpot486,2023-04-28,2099,Gaming,"howto,unboxing,beginner,music,travel,tips,daily",DE,837,230013,16545,497,1239,100,274.81,0.7398,0,popular
PX4gfjlGYqy,Why Stock Market You Need to Know,GlobalBytes714,2022-07-08,955,Gaming,"tutorial,howto,cooking",FR,1131,78549,0,136,582,21881,69.45,-0.2053,0,normal
AB5E8ZihSiR,Reaction to Smartphones Explained,SmartSpot485,2023-01-30,163,Howto & Style,"beginner,review,unboxing,motivation,finance,music,ai",AU,925,56776,3442,17,717,14141,61.38,-0.3344,0,normal
DNRf0Nu8834,Quick Tips: Study Hacks That Works,GlobalSpot278,2023-12-20,220,Entertainment,"investing,motivation,tutorial,music,machinelearning",US,601,46467,4683,162,668,616,77.32,-0.1169,0,normal
UaK9gGaL9V5,Unboxing: Home Workout Full Tutorial,QuickAcademy380,2025-01-25,2822,People & Blogs,"fitness,beginner,cooking,investing,tutorial",DE,199,13936,285,31,242,100,70.03,0.2592,0,normal
8HMdN52Ko5u,Quick Tips: Cooking for Beginners,EasyVibes197,2025-05-18,3412,People & Blogs,"unboxing,travel,motivation,comedy,vlog,cooking,ai",GB,86,100476,5114,206,752,100,1168.33,0.1492,0,popular
d9bkqCTaCr4,The Truth About Study Hacks Full Tutorial,TechSpot458,2025-03-23,960,Music,"motivation,machinelearning,travel,beginner",US,142,10495,255,28,114,554,73.91,-0.092,0,normal
A8QLlnzaOxC,Beginner's Guide to Weight Loss You Need to Know,LifeGuide904,2022-09-30,3446,Entertainment,"ai,tips,travel",CA,1047,92228,6570,177,715,100,88.09,0.4323,0,normal
BCSjzZSP7cx,Why Budget Travel Full Tutorial,TopLab662,2021-09-15,2769,Sports,"review,vlog,motivation,comedy,fitness",JP,1427,109352,6894,374,864,27479,76.63,-0.5,0,popular
jSphysKkUW9,Top 10 Gadgets That Works,QuickVibes648,2025-04-23,2705,Music,"python,review,motivation,howto,investing",BR,111,64705,3155,96,599,605,582.93,0.601,0,normal
eEnPDxEvYVF,Why Budget Travel Explained,LearnHub869,2023-01-23,2096,Entertainment,"fitness,beginner,cooking,daily",KR,932,40475,2067,135,458,100,43.43,0.5078,0,normal
SZKNuy5avvB,Unboxing: Gadgets for Beginners,TopHub690,2023-11-03,1627,Gaming,"tutorial,motivation,howto,study,beginner,comedy",CA,648,88353,6870,276,1214,11157,136.35,-0.143,0,normal
atjNQAhirSY,Beginner's Guide to Home Workout Full Tutorial,LearnWorld19,2021-04-15,1861,People & Blogs,"fitness,vlog,machinelearning,comedy,investing,study",BR,1580,76548,2348,185,780,13949,48.45,-0.2597,0,normal
8mhQdi0Ckv2,The Truth About Weight Loss That Works,GlobalHub592,2024-10-02,2294,Science & Technology,"unboxing,finance,study",CA,314,10809,42,16,60,100,34.42,0.134,0,normal
PCGJKX5JJcE,Review: Cooking Explained,TechJourney178,2022-04-10,739,Sports,"travel,finance,daily,comedy,machinelearning,cooking,music",IN,1220,39592,3160,105,383,204,32.45,0.0957,0,normal
jT1iA0dNdgH,Quick Tips: Cooking Explained,TechAcademy858,2022-09-06,2782,People & Blogs,"motivation,beginner,finance,python",FR,1071,59006,941,90,409,18314,55.09,-0.386,0,normal
vMJzeFXX0gC,Review: Gadgets Full Tutorial,EasyBytes409,2021-04-17,3032,Travel & Events,"investing,review,cooking,ai,python,tips,daily",DE,1578,1627117,63970,3499,16634,571794,1031.13,1.0577,1,viral
AyNHjfe58ju,The Truth About Smartphones in 10 Minutes,QuickBytes60,2023-06-25,1031,Entertainment,"review,daily,tutorial,ai,music,investing",US,779,43288,1643,119,672,11009,55.57,-0.2693,0,normal
RRyotrCOtw2,Unboxing: Smartphones That Works,LearnAcademy937,2024-11-29,862,People & Blogs,"unboxing,tutorial,fitness,tips,python",AU,256,42488,1884,58,729,6446,165.97,0.513,0,normal
eZmuT7yziLn,Reaction to Stock Market Explained,TopSpot622,2025-02-27,243,News & Politics,"travel,finance,motivation",FR,166,13601,1020,16,154,2495,81.93,0.4964,0,normal
4SOJxnIX3S7,Review: Gadgets for Beginners,EasyLab374,2021-02-28,2207,Science & Technology,"fitness,travel,vlog,tutorial",CA,1626,100148,4518,243,657,100,61.59,0.1089,0,popular
fiV3YtDpHqH,How to Python 2025,TopVibes106,2025-03-10,2125,News & Politics,"python,fitness,comedy,motivation",FR,155,6844,223,3,136,1436,44.15,1.0737,0,normal
oL3HOzvn6fy,Reaction to Study Hacks Explained,LearnWorld30,2024-03-23,1032,Education,"vlog,study,tips,cooking,tutorial,fitness",GB,507,24236,804,80,406,11108,47.8,0.8552,0,normal
t8E8rwA3qZ5,Reaction to Home Workout You Need to Know,LifeAcademy755,2024-02-16,2042,Howto & Style,"daily,tutorial,vlog,tips,motivation,review,howto",US,543,56735,1731,139,1016,9983,104.48,0.7514,0,normal
r1iRF83rNTA,Why Home Workout That Works,GlobalVibes183,2025-05-25,2086,Howto & Style,"comedy,review,howto,unboxing,machinelearning",US,79,42549,2317,143,78,6257,538.59,-0.196,0,normal
k2qIL62GFJv,Quick Tips: Home Workout Explained,TopAcademy190,2022-03-19,999,Sports,"tutorial,comedy,vlog,python,travel,tips",CA,1242,28484,2193,82,275,4233,22.93,-0.0977,0,normal
FyBmieZQkzn,Why Stock Market in 10 Minutes,SmartVibes921,2023-08-10,975,News & Politics,"study,python,fitness,howto,daily,beginner,cooking",US,733,33828,1567,11,346,2657,46.15,0.4937,0,normal
FsWYajzPdJN,Quick Tips: Home Workout Full Tutorial,SmartSpot619,2024-12-20,2025,Entertainment,"tutorial,python,comedy,motivation,music,beginner,ai",DE,235,57580,2314,118,438,8352,245.02,0.6516,0,normal
RpwLe5mE3eX,How to Home Workout Full Tutorial,QuickAcademy814,2022-02-03,2931,Education,"travel,finance,tutorial,howto,ai,investing,review",JP,1286,123809,6127,392,1574,3203,96.27,0.3287,0,popular
nEP1w6wRj4P,Unboxing: Study Hacks 2025,TopGuide985,2020-12-12,2321,Science & Technology,"tips,motivation,howto",DE,1704,39782,1584,47,432,100,23.35,-0.0861,0,normal
4qoNId0ncno,Beginner's Guide to Weight Loss Full Tutorial,EasyAcademy397,2023-02-19,3126,News & Politics,"finance,ai,study",US,905,57186,2399,156,709,100,63.19,0.0634,0,normal
iKVEgwj0NVY,Unboxing: Weight Loss for Beginners,QuickLab158,2023-09-24,1240,Gaming,"beginner,travel,unboxing,daily,finance,howto",US,688,69908,3118,258,389,14168,101.61,-0.5,0,normal
KIumi2yOT2R,Quick Tips: Study Hacks in 10 Minutes,QuickBytes391,2021-10-10,2480,Science & Technology,"howto,tutorial,motivation",US,1402,61782,3534,205,904,100,44.07,0.2191,0,normal
9SqKr8CG15M,Top 10 Study Hacks You Need to Know,EasyBytes346,2024-01-27,2201,Howto & Style,"python,study,music",JP,563,87755,4834,120,525,100,155.87,-0.0712,0,normal
hTvAXpNpLSr,How to Budget Travel for Beginners,TopJourney522,2020-10-02,802,News & Politics,"tutorial,fitness,study,cooking,review",CA,1775,43986,2427,48,580,100,24.78,-0.0064,0,normal
rqgXKVuVKrY,The Truth About Gadgets for Beginners,LifeLab803,2023-04-06,979,Science & Technology,"comedy,tips,motivation",GB,859,57454,1944,106,842,8747,66.88,0.1528,0,normal
KSmCpQ4XShh,Unboxing: Home Workout 2025,TopGuide745,2021-10-18,3270,Sports,"music,cooking,investing,motivation,tutorial,finance,howto",DE,1394,60927,1059,132,0,100,43.71,0.6698,0,normal
8aHY6a45hSa,Unboxing: Study Hacks Full Tutorial,LifeSpot813,2022-02-04,1976,Music,"review,comedy,finance,ai,tips,music",GB,1285,173150,3548,523,637,100,134.75,0.0553,0,popular
EZz8JcdVrrD,Review: Python Explained,ProBytes241,2024-12-25,2854,Music,"tutorial,motivation,unboxing",JP,230,43098,2742,91,383,21952,187.38,-0.25,0,normal
O68922ei5Xl,DIY Home Workout in 10 Minutes,GlobalGuide652,2025-06-08,1031,Education,"motivation,vlog,investing,ai,tips,music,review",US,65,40789,1065,119,611,100,627.52,0.577,0,normal
y4BBQMm7haZ,Review: Study Hacks for Beginners,LifeHub793,2023-05-28,3136,News & Politics,"tips,study,daily,investing",BR,807,59950,0,6,208,4612,74.29,-0.1545,0,normal
rbNQcUYxyY2,Top 10 Smartphones 2025,TopGuide21,2022-06-02,90,Sports,"tips,review,cooking,vlog,ai,investing,music",FR,1167,59822,2270,70,1056,11962,51.26,-0.5,0,normal
dz28z8y72co,DIY Weight Loss 2025,GlobalReviews824,2024-05-31,1642,People & Blogs,"tutorial,ai,motivation,travel,investing",US,438,11919,0,36,73,1507,27.21,-0.0259,0,normal
LwfwmByqLfA,Why Cooking for Beginners,QuickGuide96,2023-03-29,195,Sports,"daily,fitness,tips,study,howto",AU,867,27684,703,61,60,9953,31.93,1.0375,0,normal
e0DQl9EgBOf,Beginner's Guide to Stock Market You Need to Know,GlobalWorld760,2025-04-15,721,Entertainment,"vlog,machinelearning,comedy,cooking,review",CA,119,47755,3149,73,281,100,401.3,-0.5,0,normal
LSUUGzFEXmL,Why Budget Travel 2025,GlobalGuide392,2025-01-13,1569,Gaming,"python,machinelearning,study,vlog,comedy",CA,211,108517,4473,114,821,22081,514.3,-0.207,0,popular
YQozQ2JT0Eo,DIY Study Hacks Full Tutorial,QuickBytes845,2021-02-11,2191,Gaming,"tips,cooking,unboxing,ai,travel",CA,1643,94864,5771,189,958,5154,57.74,0.2679,0,normal
lnAvOArxYc7,DIY Weight Loss for Beginners,QuickReviews855,2023-05-24,465,Music,"beginner,review,cooking",US,811,121233,6618,296,951,21346,149.49,-0.0563,0,popular
kzMazeC5Kk3,DIY Cooking Full Tutorial,GlobalHub603,2021-06-29,3049,Travel & Events,"fitness,vlog,machinelearning,study,cooking,travel,daily",BR,1505,65069,1904,247,930,3226,43.24,0.2888,0,normal
6cjn7zrlSae,Beginner's Guide to Study Hacks Explained,LearnHub888,2021-06-10,89,People & Blogs,"python,vlog,motivation,comedy,tutorial",US,1524,62552,1966,172,845,10651,41.04,0.0122,0,normal
ZrMcxcAbLaq,Quick Tips: Stock Market in 10 Minutes,EasyWorld371,2024-05-13,2995,Sports,"finance,tips,cooking,investing,review",CA,456,25441,984,87,430,10446,55.79,-0.5,0,normal
YD1gIbf0MJk,Beginner's Guide to Python for Beginners,ProReviews225,2021-09-17,1853,Gaming,"travel,howto,study,music,fitness",AU,1425,59723,3261,146,522,100,41.91,0.0987,0,normal
S80TKIsEEKL,Unboxing: Study Hacks Explained,TechReviews20,2021-09-29,1758,Travel & Events,"investing,howto,travel,unboxing,study",IN,1413,85662,6235,0,596,30786,60.62,0.0109,0,normal
o6TrbYEWfNr,DIY Cooking in 10 Minutes,QuickSpot262,2023-03-18,233,News & Politics,"study,vlog,beginner,ai,travel,music,review",AU,878,53234,3574,115,422,1836,60.63,0.4642,0,normal
RIcKmKaRKw3,Beginner's Guide to Stock Market for Beginners,LifeReviews8,2022-07-09,2600,Travel & Events,"travel,investing,beginner,finance,cooking",GB,1130,42583,1773,177,679,6068,37.68,0.4308,0,normal
iupqoU7sSaO,Quick Tips: Python Explained,DailySpot315,2023-09-07,684,News & Politics,"ai,review,comedy,beginner,fitness,motivation,howto",BR,705,35758,2760,0,638,1413,50.72,0.0182,0,normal
LWZ8wzjH4QD,Quick Tips: Python 2025,DailyWorld856,2020-11-19,2381,Music,"howto,finance,comedy,review",AU,1727,89519,2728,273,470,56081,51.83,0.2173,0,normal
